#GENE	HGNC ID	INHERITANCE	AGE GROUP
A2M	7	AD	N/A
A2ML1	23336	AD	Pediatric
A4GALT	18149	BG	Pediatric
AAAS	13666	AR	Pediatric
AAGAB	25662	AD	N/A
AARS1	20	AD/AR	N/A
AARS2	21022	AR	Pediatric
AASS	17366	AR	N/A
ABAT	23	AR	Pediatric
ABCA1	29	AD/AR	Pediatric
ABCA12	14637	AR 	N/A
ABCA2	32	AR	N/A
ABCA3	33	AR	Pediatric
ABCA4	34	AD/AR	N/A
ABCA5	35	AR	N/A
ABCB1	40	AD	Pediatric
ABCB11	42	AR	Pediatric
ABCB4	45	AD/AR	Pediatric
ABCB6	47	AD/BG	Pediatric
ABCB7	48	XL	N/A
ABCC1	51	AD	N/A
ABCC11	14639	AR	N/A
ABCC2	53	AD/AR	N/A
ABCC6	57	AD/AR/Digenic	Pediatric
ABCC8	59	AD/AR	Pediatric
ABCC9	60	AD/AR	Pediatric
ABCD1	61	XL	Pediatric
ABCD3	67	AR	Pediatric
ABCD4	68	AR	Pediatric
ABCG2	74	BG	Pediatric
ABCG5	13886	AR	Pediatric
ABCG8	13887	AR	Pediatric
ABHD12	15868	AR	N/A
ABHD16A	13921	AR	N/A
ABHD5	21396	AR	N/A
ABL1	76	AD	Adult
ABO	79	BG	Pediatric
ACAD8	87	AR	Pediatric
ACAD9	21497	AR	Pediatric
ACADM	89	AR	Pediatric
ACADS	90	AR	Pediatric
ACADSB	91	AR	N/A
ACADVL	92	AR	Pediatric
ACAN	319	AD	N/A
ACAT1	93	AR	Pediatric
ACBD5	23338	AR	N/A
ACD	25070	AD/AR	Pediatric
ACE	2707	AR	Pediatric
ACER3	16066	AR	N/A
ACHE	108	BG	Pediatric
ACKR1	4035	BG	Pediatric
ACKR3	23692	AR	N/A
ACO2	118	AR	N/A
ACOX1	119	AD	Pediatric
ACOX2	120	AR	Pediatric
ACP4	14376	AR	N/A
ACP5	124	AR	Pediatric
ACSF3	27288	AR	Pediatric
ACSL4	3571	XL	N/A
ACTA1	129	AD/AR	N/A
ACTA2	130	AD	Pediatric
ACTB	132	AD	Pediatric
ACTC1	143	AD	Pediatric
ACTG1	144	AD	Pediatric
ACTG2	145	AD	Pediatric
ACTL6B	160	AD/AR	N/A
ACTL9	28494	AR	N/A
ACTN1	163	AD	N/A
ACTN2	164	AD	Pediatric
ACTN3	165	AR	N/A
ACTN4	166	AD	Pediatric
ACVR1	171	AD	N/A
ACVR2B	174	AD	Pediatric
ACVRL1	175	AD	Pediatric
ACY1	177	AR	N/A
ADA	186	AR	Pediatric
ADA2	1839	AR	Pediatric
ADAM10	188	AD	N/A
ADAM17	195	AR	Pediatric
ADAM22	201	AR	N/A
ADAM9	216	AR	N/A
ADAMTS10	13201	AR	Pediatric
ADAMTS13	1366	AR	Pediatric
ADAMTS17	17109	AR	Pediatric
ADAMTS18	17110	AR	N/A
ADAMTS2	218	AR	Pediatric
ADAMTS3	219	AR	Pediatric
ADAMTSL2	14631	AR	Pediatric
ADAMTSL4	19706	AR	Pediatric
ADAR	225	AD/AR	N/A
ADARB1	226	AR	N/A
ADAT3	25151	AR	N/A
ADCY1	232	AR	Pediatric
ADCY10	21285	AD	N/A
ADCY3	234	AR	N/A
ADCY5	236	AD/AR	Pediatric
ADCY6	237	AR	N/A
ADD3	245	AR	N/A
ADGRE2	3337	AD	N/A
ADGRG1	4512	AR	N/A
ADGRG2	4516	XL	N/A
ADGRG6	13841	AR	N/A
ADGRV1	17416	AR/Digenic	Pediatric
ADH5	253	Digenic	Pediatric
ADK	257	AD	N/A
ADNP	15766	AD	Pediatric
ADPRS	21304	AR	N/A
ADRA2B	282	AD	N/A
ADRA2C	283	AD	Pediatric
ADRB1	285	AD	Pediatric
ADRB2	286	AD	Pediatric
ADSL	291	AR	N/A
ADSS1	20093	AR	N/A
AEBP1	303	AR	Pediatric
AFF2	3776	XL	Pediatric
AFF3	6473	AD	N/A
AFF4	17869	AD	Pediatric
AFG3L2	315	AD/AR	N/A
AFP	317	AD/AR	N/A
AGA	318	AR	N/A
AGBL1	26504	AD	N/A
AGBL5	26147	AR	N/A
AGK	21869	AR	Pediatric
AGL	321	AR	Pediatric
AGMX2	323	XL	Pediatric
AGPAT2	325	AR	Pediatric
AGPS	327	AR	N/A
AGRN	329	AR	Pediatric
AGT	333	AR	N/A
AGTPBP1	17258	AR	N/A
AGTR1	336	AR	N/A
AGTR2	338	XL	N/A
AGXT	341	AR	Pediatric
AGXT2	14412	AR	N/A
AHCY	343	AR	Pediatric
AHDC1	25230	AD	N/A
AHI1	21575	AR	N/A
AHR	348	AR	N/A
AHSG	349	AR	N/A
AICDA	13203	AR	Pediatric
AIFM1	8768	XL	Pediatric
AIMP1	10648	AR	N/A
AIMP2	20609	AR	N/A
AIP	358	AD	Pediatric
AIPL1	359	AD/AR	N/A
AIRE	360	AD/AR	Pediatric
AK1	361	AR	Pediatric
AK2	362	AR	Pediatric
AK7	20091	AR	N/A
AKAP9	379	AD	Pediatric
AKR1C2	385	AR	Pediatric
AKR1D1	388	AR	Pediatric
AKT1	391	AD	Pediatric
AKT2	392	AD	Pediatric
AKT3	393	AD	N/A
ALAD	395	AR	Pediatric
ALAS2	397	XL	Pediatric
ALB	399	AD/AR	Pediatric
ALDH18A1	9722	AD/AR	N/A
ALDH1A3	409	AR	N/A
ALDH3A2	403	AR	N/A
ALDH4A1	406	AR	N/A
ALDH5A1	408	AR	N/A
ALDH6A1	7179	AR	Pediatric
ALDH7A1	877	AR	Pediatric
ALDOA	414	AR	Pediatric
ALDOB	417	AR	Pediatric
ALG1	18294	AR	Pediatric
ALG11	32456	AR	Pediatric
ALG12	19358	AR	Pediatric
ALG13	30881	XL	N/A
ALG14	28287	AR	Pediatric
ALG2	23159	AR	Pediatric
ALG3	23056	AR	Pediatric
ALG6	23157	AR	Pediatric
ALG8	23161	AR	Pediatric
ALG9	15672	AR	Pediatric
ALK	427	AD	Pediatric
ALKBH8	25189	AR	N/A
ALMS1	428	AR	Pediatric
ALOX12B	430	AR	N/A
ALOX5	435	AD	Pediatric
ALOXE3	13743	AR	N/A
ALPK1	20917	AD	Pediatric
ALPK3	17574	AD/AR	Pediatric
ALPL	438	AD/AR	Pediatric
ALS2	443	AR	N/A
ALS2CL	20605	AD	N/A
ALX1	1494	AR	N/A
ALX3	449	AR	N/A
ALX4	450	AD/AR	N/A
AMACR	451	AR	Pediatric
AMBN	452	AR	N/A
AMCN	456	AR	N/A
AMELX	461	XL	N/A
AMER1	26837	XL	N/A
AMH	464	AR	Pediatric
AMHR2	465	AR	Pediatric
AMMECR1	467	XL	Pediatric
AMN	14604	AR	Pediatric
AMPD1	468	AR	N/A
AMPD2	469	AR	N/A
AMPD3	470	AD/AR	N/A
